"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id"
"San Bernardino Line","1146","233003819","Redlands - Esri","3819","1"
"San Bernardino Line","1146","233003820","Redlands - University","3820","0"
"San Bernardino Line","1146","233003821","San Bernardino - Downtown","3821","1"
"San Bernardino Line","1146","233003822","Redlands - University","3822","0"
"San Bernardino Line","1146","233003823","San Bernardino - Downtown","3823","1"
"San Bernardino Line","1146","233003824","Redlands - University","3824","0"
"San Bernardino Line","1146","233003825","San Bernardino - Downtown","3825","1"
"San Bernardino Line","1146","233003826","Redlands - University","3826","0"
"San Bernardino Line","1146","233003827","San Bernardino - Downtown","3827","1"
"San Bernardino Line","1146","233003828","Redlands - University","3828","0"
"San Bernardino Line","1146","233003829","San Bernardino - Downtown","3829","1"
"San Bernardino Line","1146","233003830","Redlands - University","3830","0"
"San Bernardino Line","1146","233003831","San Bernardino - Downtown","3831","1"
"San Bernardino Line","1146","233003832","Redlands - University","3832","0"
"San Bernardino Line","1146","233003833","San Bernardino - Downtown","3833","1"
"San Bernardino Line","1146","233003834","San Bernardino - Downtown","3834","0"
"San Bernardino Line","1146","233003835","San Bernardino - Downtown","3835","1"
"San Bernardino Line","1146","233003836","Redlands - University","3836","0"
"San Bernardino Line","1146","233003837","San Bernardino - Downtown","3837","1"
"San Bernardino Line","1146","233003838","Redlands - University","3838","0"
"San Bernardino Line","1146","233003839","San Bernardino - Downtown","3839","1"
"San Bernardino Line","1146","233003840","Redlands - University","3840","0"
"San Bernardino Line","1146","233003841","San Bernardino - Downtown","3841","1"
"San Bernardino Line","1146","233003842","Redlands - University","3842","0"
"San Bernardino Line","1146","233003843","San Bernardino - Downtown","3843","1"
"San Bernardino Line","1146","233003844","Redlands - University","3844","0"
"San Bernardino Line","1146","233003845","San Bernardino - Downtown","3845","1"
"San Bernardino Line","1146","233003846","Redlands - University","3846","0"
"San Bernardino Line","1146","233003847","San Bernardino - Downtown","3847","1"
"San Bernardino Line","1147","233003850","Redlands - University","3850","0"
"San Bernardino Line","1147","233003851","San Bernardino - Downtown","3851","1"
"San Bernardino Line","1147","233003852","Redlands - University","3852","0"
"San Bernardino Line","1147","233003853","San Bernardino - Downtown","3853","1"
"San Bernardino Line","1147","233003854","Redlands - University","3854","0"
"San Bernardino Line","1147","233003855","San Bernardino - Downtown","3855","1"
"San Bernardino Line","1147","233003856","Redlands - University","3856","0"
"San Bernardino Line","1147","233003857","San Bernardino - Downtown","3857","1"
"San Bernardino Line","1147","233003858","Redlands - University","3858","0"
"San Bernardino Line","1147","233003859","San Bernardino - Downtown","3859","1"
"San Bernardino Line","1147","233003860","Redlands - University","3860","0"
"San Bernardino Line","1147","233003861","San Bernardino - Downtown","3861","1"
"San Bernardino Line","1147","233003862","Redlands - University","3862","0"
"San Bernardino Line","1147","233003863","San Bernardino - Downtown","3863","1"
"San Bernardino Line","1147","233003864","Redlands - University","3864","0"
"San Bernardino Line","1147","233003865","San Bernardino - Downtown","3865","1"
"San Bernardino Line","1147","233003866","Redlands - University","3866","0"
"San Bernardino Line","1147","233003867","San Bernardino - Downtown","3867","1"
"San Bernardino Line","1147","233003868","Redlands - University","3868","0"
"San Bernardino Line","1147","233003869","San Bernardino - Downtown","3869","1"
"San Bernardino Line","1147","233003870","Redlands - University","3870","0"
"San Bernardino Line","1147","233003871","San Bernardino - Downtown","3871","1"
"San Bernardino Line","1147","233003872","Redlands - University","3872","0"
"San Bernardino Line","1147","233003873","San Bernardino - Downtown","3873","1"
"San Bernardino Line","1147","233003874","Redlands - University","3874","0"
"San Bernardino Line","1147","233003875","San Bernardino - Downtown","3875","1"
"San Bernardino Line","1147","233003876","Redlands - University","3876","0"
"San Bernardino Line","1147","233003877","Redlands - Downtown","3877","1"
"San Bernardino Line","1147","233003878","Redlands - University","3878","0"
"San Bernardino Line","1147","233003879","Redlands - Downtown","3879","1"
"San Bernardino Line","1147","233003880","Redlands - University","3880","0"
"San Bernardino Line","1147","233003881","San Bernardino - Downtown","3881","1"
"Ventura County Line","1141","294100120","L.A. Union Station","100","1"
"Ventura County Line","1141","294100122","L.A. Union Station","102","1"
"Ventura County Line","1141","294100123","L.A. Union Station","104","1"
"Ventura County Line","1141","294100127","L.A. Union Station","108","1"
"Ventura County Line","1141","294100131","L.A. Union Station","116","1"
"Ventura County Line","1141","294100132","L.A. Union Station","120","1"
"Ventura County Line","1141","294100146","L.A. Union Station","112","1"
"Ventura County Line","1141","294100761","Ventura - Downtown / Beach","A761","0"
"Ventura County Line","1156","294100762","Ventura - Downtown / Beach","A761","0"
"Ventura County Line","1141","294100770","L.A. Union Station","A770","1"
"Ventura County Line","1156","294100771","L.A. Union Station","A770","1"
"Ventura County Line","1141","294100777","Ventura - Downtown / Beach","A777","0"
"Ventura County Line","1156","294100778","Ventura - Downtown / Beach","A777","0"
"Ventura County Line","1141","294100784","L.A. Union Station","A784","1"
"Ventura County Line","1156","294100785","L.A. Union Station","A784","1"
"Ventura County Line","1141","294200133","Moorpark","101","0"
"Ventura County Line","1141","294200134","Van Nuys","103","0"
"Ventura County Line","1141","294200138","Moorpark","109","0"
"Ventura County Line","1141","294200141","Moorpark","113","0"
"Ventura County Line","1141","294200142","Ventura - East","117","0"
"Ventura County Line","1141","294200143","Ventura - East","119","0"
"Ventura County Line","1156","294200144","Ventura - East","165","0"
"Ventura County Line","1156","294200145","L.A. Union Station","162","1"
"Ventura County Line","1141","294200147","Van Nuys","115","0"
"Ventura County Line","1141","294200148","L.A. Union Station","118","1"
"Ventura County Line","1141","294200154","L.A. Union Station","110","1"
"Ventura County Line","1156","294200163","Ventura - East","163","0"
"Ventura County Line","1156","294200164","L.A. Union Station","164","1"
"Ventura County Line","1141","294200175","Van Nuys","105","0"
"Antelope Valley Line","1142","294300162","L.A. Union Station","202","1"
"Antelope Valley Line","1142","294300163","L.A. Union Station","204","1"
"Antelope Valley Line","1142","294300165","L.A. Union Station","208","1"
"Antelope Valley Line","1142","294300167","L.A. Union Station","212","1"
"Antelope Valley Line","1142","294300211","Via Princessa","211","0"
"Antelope Valley Line","1142","294300215","Via Princessa","215","0"
"Antelope Valley Line","1142","294300216","L.A. Union Station","216","1"
"Antelope Valley Line","1142","294300217","Lancaster","217","0"
"Antelope Valley Line","1142","294300220","L.A. Union Station","220","1"
"Antelope Valley Line","1142","294300226","L.A. Union Station","226","1"
"Antelope Valley Line","1142","294300234","L.A. Union Station","234","1"
"Antelope Valley Line","1142","294300235","Lancaster","235","0"
"Antelope Valley Line","1142","294300238","L.A. Union Station","238","1"
"Antelope Valley Line","1143","294300272","L.A. Union Station","272","1"
"Antelope Valley Line","1143","294300273","Lancaster","273","0"
"Antelope Valley Line","1143","294300274","L.A. Union Station","274","1"
"Antelope Valley Line","1143","294300275","Via Princessa","275","0"
"Antelope Valley Line","1143","294300276","L.A. Union Station","276","1"
"Antelope Valley Line","1143","294300277","Lancaster","277","0"
"Antelope Valley Line","1143","294300278","L.A. Union Station","278","1"
"Antelope Valley Line","1143","294300279","Via Princessa","279","0"
"Antelope Valley Line","1143","294300280","L.A. Union Station","280","1"
"Antelope Valley Line","1143","294300281","Lancaster","281","0"
"Antelope Valley Line","1143","294300282","L.A. Union Station","282","1"
"Antelope Valley Line","1143","294300285","Lancaster","285","0"
"Antelope Valley Line","1143","294300287","Via Princessa","287","0"
"Antelope Valley Line","1143","294300288","L.A. Union Station","288","1"
"Antelope Valley Line","1142","294400173","Lancaster","203","0"
"Antelope Valley Line","1142","294400182","Lancaster","209","0"
"Antelope Valley Line","1142","294400189","Lancaster","223","0"
"Antelope Valley Line","1143","294500201","L.A. Union Station","260","1"
"Antelope Valley Line","1143","294500721","L.A. Union Station","264","1"
"Antelope Valley Line","1143","294500741","L.A. Union Station","266","1"
"Antelope Valley Line","1143","294500743","L.A. Union Station","268","1"
"Antelope Valley Line","1143","294500781","L.A. Union Station","270","1"
"Antelope Valley Line","1143","294600204","Via Princessa","263","0"
"Antelope Valley Line","1143","294600701","Lancaster","261","0"
"Antelope Valley Line","1143","294600742","Via Princessa","267","0"
"Antelope Valley Line","1143","294600744","Lancaster","269","0"
"Antelope Valley Line","1143","294600746","Via Princessa","271","0"
"San Bernardino Line","1146","295100223","L.A. Union Station","303","1"
"San Bernardino Line","1146","295100226","L.A. Union Station","305","1"
"San Bernardino Line","1146","295100230","L.A. Union Station","309","1"
"San Bernardino Line","1146","295100234","L.A. Union Station","313","1"
"San Bernardino Line","1146","295100236","L.A. Union Station","315","1"
"San Bernardino Line","1146","295100238","L.A. Union Station","317","1"
"San Bernardino Line","1146","295100240","L.A. Union Station","319","1"
"San Bernardino Line","1146","295100242","L.A. Union Station","321","1"
"San Bernardino Line","1146","295100252","L.A. Union Station","331","1"
"San Bernardino Line","1146","295100254","L.A. Union Station","333","1"
"San Bernardino Line","1146","295100861","L.A. Union Station","335","1"
"San Bernardino Line","1146","295101003","L.A. Union Station","307","1"
"San Bernardino Line","1146","295200225","San Bernardino - Downtown","304","0"
"San Bernardino Line","1146","295200233","San Bernardino - Downtown","312","0"
"San Bernardino Line","1146","295200235","San Bernardino - Downtown","314","0"
"San Bernardino Line","1146","295200239","San Bernardino - Downtown","318","0"
"San Bernardino Line","1146","295200241","San Bernardino - Downtown","320","0"
"San Bernardino Line","1146","295200243","San Bernardino - Downtown","322","0"
"San Bernardino Line","1146","295200247","San Bernardino - Downtown","326","0"
"San Bernardino Line","1146","295200251","San Bernardino - Downtown","330","0"
"San Bernardino Line","1146","295200253","San Bernardino - Downtown","332","0"
"San Bernardino Line","1146","295200881","San Bernardino - Downtown","334","0"
"San Bernardino Line","1146","295201004","San Bernardino - Downtown","324","0"
"San Bernardino Line","1147","295300261","L.A. Union Station","353","1"
"San Bernardino Line","1147","295300266","L.A. Union Station","359","1"
"San Bernardino Line","1147","295300269","L.A. Union Station","363","1"
"San Bernardino Line","1147","295300277","L.A. Union Station","373","1"
"San Bernardino Line","1147","295300281","L.A. Union Station","357","1"
"San Bernardino Line","1147","295300282","L.A. Union Station","367","1"
"San Bernardino Line","1147","295300747","L.A. Union Station","351","1"
"San Bernardino Line","1147","295300760","L.A. Union Station","377","1"
"San Bernardino Line","1147","295400262","San Bernardino - Downtown","354","0"
"San Bernardino Line","1147","295400265","San Bernardino - Downtown","358","0"
"San Bernardino Line","1147","295400268","San Bernardino - Downtown","362","0"
"San Bernardino Line","1147","295400270","San Bernardino - Downtown","364","0"
"San Bernardino Line","1147","295400272","San Bernardino - Downtown","366","0"
"San Bernardino Line","1147","295400276","San Bernardino - Downtown","372","0"
"San Bernardino Line","1147","295400280","San Bernardino - Downtown","376","0"
"San Bernardino Line","1147","295400748","San Bernardino - Downtown","352","0"
"Riverside Line","1149","295700441","L.A. Union Station","401","1"
"Riverside Line","1149","295700442","L.A. Union Station","403","1"
"Riverside Line","1149","295700444","L.A. Union Station","407","1"
"Riverside Line","1149","295700445","L.A. Union Station","409","1"
"Riverside Line","1149","295800463","Riverside - Downtown","406","0"
"Riverside Line","1149","295800464","Riverside - Downtown","408","0"
"Riverside Line","1149","295800465","Riverside - Downtown","410","0"
"91 Line","1150","295900043","L.A. Union Station","701","1"
"91 Line","1150","295900046","L.A. Union Station","703","1"
"91 Line","1150","295900055","L.A. Union Station","705","1"
"91 Line","1150","295900061","L.A. Union Station","707","1"
"91 Line","1155","295900751","L.A. Union Station","751","1"
"91 Line","1155","295900753","L.A. Union Station","753","1"
"91 Line","1150","296000081","Riverside - Downtown","700","0"
"91 Line","1150","296000091","Perris - South","704","0"
"91 Line","1150","296000097","Perris - South","706","0"
"91 Line","1150","296000100","Riverside - Downtown","708","0"
"91 Line","1150","296000105","Perris - South","710","0"
"91 Line","1150","296000120","Riverside - Downtown","712","0"
"91 Line","1155","296000752","Riverside - Downtown","752","0"
"91 Line","1155","296000754","Riverside - Downtown","754","0"
"Orange County Line","1151","296100041","L.A. Union Station","681","1"
"Orange County Line","1151","296100042","L.A. Union Station","601","1"
"Orange County Line","1151","296100044","L.A. Union Station","603","1"
"Orange County Line","1151","296100045","L.A. Union Station","605","1"
"Orange County Line","1151","296100047","L.A. Union Station","683","1"
"Orange County Line","1151","296100048","L.A. Union Station","607","1"
"Orange County Line","1151","296100049","L.A. Union Station","685","1"
"Orange County Line","1151","296100057","L.A. Union Station","609","1"
"Orange County Line","1151","296100059","L.A. Union Station","689","1"
"Orange County Line","1151","296200088","Oceanside","600","0"
"Orange County Line","1151","296200093","Laguna Niguel / Mission Viejo","684","0"
"Orange County Line","1151","296200094","Oceanside","602","0"
"Orange County Line","1151","296200096","Irvine","686","0"
"Orange County Line","1151","296200098","Oceanside","604","0"
"Orange County Line","1151","296200099","Laguna Niguel / Mission Viejo","688","0"
"Orange County Line","1151","296200101","Oceanside","606","0"
"Orange County Line","1151","296200102","Oceanside","608","0"
"Orange County Line","1152","296300901","L.A. Union Station","661","1"
"Orange County Line","1152","296300922","L.A. Union Station","665","1"
"Orange County Line","1152","296400921","Oceanside","662","0"
"Orange County Line","1152","296400923","Oceanside","664","0"
"Inland Emp.-Orange Co. Line","1153","296500082","Oceanside","803","0"
"Inland Emp.-Orange Co. Line","1153","296500084","Irvine","805","0"
"Inland Emp.-Orange Co. Line","1153","296500085","Laguna Niguel / Mission Viejo","807","0"
"Inland Emp.-Orange Co. Line","1153","296500087","Laguna Niguel / Mission Viejo","809","0"
"Inland Emp.-Orange Co. Line","1153","296500090","Laguna Niguel / Mission Viejo","811","0"
"Inland Emp.-Orange Co. Line","1153","296600054","San Bernardino - Downtown","802","1"
"Inland Emp.-Orange Co. Line","1153","296600058","Riverside - Downtown","806","1"
"Inland Emp.-Orange Co. Line","1153","296600060","San Bernardino - Downtown","808","1"
"Inland Emp.-Orange Co. Line","1153","296600062","San Bernardino - Downtown","810","1"
"Inland Emp.-Orange Co. Line","1154","296700425","Oceanside","859","0"
"Inland Emp.-Orange Co. Line","1154","296800429","San Bernardino - Downtown","860","1"
"Orange County Line","1152","296800432","Oceanside","660","0"
"Orange County Line","1152","296800433","Oceanside","668","0"
"Orange County Line","1152","296800436","L.A. Union Station","663","1"
"Orange County Line","1152","296800437","L.A. Union Station","667","1"
"Inland Emp.-Orange Co. Line","1154","296800439","Oceanside","857","0"
"Inland Emp.-Orange Co. Line","1153","296800440","San Bernardino - Downtown","812","1"
"Inland Emp.-Orange Co. Line","1154","296800441","San Bernardino - Downtown","858","1"
"Inland Emp.-Orange Co. Line","1153","296800442","Riverside - Downtown","800","1"
